Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.4216      -6.5086       0.0870   673.0
0.0500          -6.5674      -6.6546       0.0872   674.4
0.1000          -6.5857      -6.6727       0.0870   672.9
0.1500          -6.5937      -6.6798       0.0861   665.9
0.2000          -6.5915      -6.6788       0.0874   675.8
0.2500          -6.5997      -6.6867       0.0870   673.3
0.3000          -6.6042      -6.6913       0.0871   674.2
0.3500          -6.6049      -6.6919       0.0869   672.6
0.4000          -6.6091      -6.6961       0.0870   673.0
0.4500          -6.6107      -6.6973       0.0866   669.7
0.5000          -6.6123      -6.6994       0.0871   674.0
0.5500          -6.6169      -6.7043       0.0874   676.2
0.6000          -6.6178      -6.7053       0.0875   677.0
0.6500          -6.6219      -6.7094       0.0875   677.3
0.7000          -6.6218      -6.7091       0.0874   675.8
0.7500          -6.6255      -6.7129       0.0874   676.3
0.8000          -6.6235      -6.7114       0.0880   680.5
0.8500          -6.6274      -6.7145       0.0871   673.7
0.9000          -6.6262      -6.7137       0.0874   676.5
0.9500          -6.6283      -6.7156       0.0873   675.7
1.0000          -6.6298      -6.7171       0.0873   675.7
