Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.5070      -6.6810       0.1740  2692.0
0.0500          -6.6322      -6.6760       0.0438   678.4
0.1000          -6.6347      -6.6783       0.0436   675.2
0.1500          -6.6425      -6.6859       0.0434   671.4
0.2000          -6.6412      -6.6845       0.0433   670.2
0.2500          -6.6287      -6.6719       0.0432   669.1
0.3000          -6.6313      -6.6747       0.0434   671.5
0.3500          -6.6359      -6.6795       0.0436   674.4
0.4000          -6.6393      -6.6828       0.0435   673.4
0.4500          -6.6398      -6.6834       0.0436   674.0
0.5000          -6.6358      -6.6793       0.0435   673.0
0.5500          -6.6328      -6.6763       0.0436   674.1
0.6000          -6.6355      -6.6792       0.0437   675.9
0.6500          -6.6387      -6.6824       0.0436   675.1
0.7000          -6.6405      -6.6838       0.0433   670.3
0.7500          -6.6381      -6.6817       0.0436   674.4
0.8000          -6.6380      -6.6814       0.0434   671.8
0.8500          -6.6384      -6.6819       0.0435   672.5
0.9000          -6.6374      -6.6810       0.0435   673.6
0.9500          -6.6398      -6.6835       0.0437   675.5
1.0000          -6.6406      -6.6841       0.0435   673.4
