Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -6.4833      -6.5960       0.1128  1130.9
0.0500          -6.6128      -6.6799       0.0671   673.2
0.1000          -6.6242      -6.6915       0.0673   674.8
0.1500          -6.6296      -6.6967       0.0670   672.3
0.2000          -6.6345      -6.7016       0.0671   673.1
0.2500          -6.6349      -6.7020       0.0671   673.3
0.3000          -6.6396      -6.7064       0.0668   670.3
0.3500          -6.6397      -6.7067       0.0670   672.2
0.4000          -6.6369      -6.7040       0.0671   672.9
0.4500          -6.6361      -6.7032       0.0671   672.9
0.5000          -6.6358      -6.7031       0.0674   675.7
0.5500          -6.6418      -6.7089       0.0671   673.4
0.6000          -6.6432      -6.7103       0.0671   672.9
0.6500          -6.6453      -6.7124       0.0671   672.8
0.7000          -6.6451      -6.7126       0.0675   676.6
0.7500          -6.6451      -6.7123       0.0672   674.4
0.8000          -6.6429      -6.7099       0.0670   672.0
0.8500          -6.6453      -6.7123       0.0670   671.9
0.9000          -6.6451      -6.7123       0.0672   673.5
0.9500          -6.6440      -6.7111       0.0672   673.5
1.0000          -6.6481      -6.7153       0.0672   674.1
