Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1900.022,-2.79E-10,-6.33E-11,6.65E-11,1.30E-10,1.03E-07,-3.31E-06,-3.69E-06,3.65E-06,1.98E-06,3.17E-06,4.63E-06,1.34E-06,-2.77E-06,-2.36E-10,-3.97E-10,2.12E-07
1900.504,-9.09E-07,6.63E-06,-4.46E-06,-3.70E-06,-6.94E-06,-1.71E-05,-1.93E-05,-1.01E-05,-1.33E-05,-8.85E-06,-1.06E-05,-2.09E-05,-1.95E-05,-8.03E-06,-2.06E-05,-1.73E-05
1900.987,-2.22E-06,1.49E-05,-7.62E-06,-4.40E-06,-1.36E-05,-2.86E-05,-3.15E-05,-2.34E-05,-2.76E-05,-1.82E-05,-2.30E-05,-4.40E-05,-3.41E-05,-1.47E-05,-3.93E-05,-3.45E-05
1901.469,-3.32E-06,2.37E-05,-8.60E-06,-1.32E-07,-1.64E-05,-3.18E-05,-3.35E-05,-2.81E-05,-3.27E-05,-1.70E-05,-2.41E-05,-5.74E-05,-3.67E-05,-1.09E-05,-4.59E-05,-4.06E-05
1901.951,-3.83E-06,3.22E-05,-7.05E-06,9.25E-06,-1.41E-05,-2.45E-05,-2.28E-05,-2.02E-05,-2.52E-05,-2.23E-06,-1.13E-05,-5.64E-05,-2.41E-05,6.76E-06,-3.61E-05,-3.13E-05
1902.433,-3.45E-06,3.91E-05,-2.89E-06,2.20E-05,-8.51E-06,-9.70E-06,-3.03E-06,-2.68E-06,-8.95E-06,2.11E-05,1.07E-05,-4.38E-05,-7.38E-07,3.38E-05,-1.35E-05,-1.09E-05
1902.915,-2.57E-06,4.30E-05,2.71E-06,3.45E-05,-3.91E-06,5.12E-06,1.70E-05,1.59E-05,6.83E-06,4.26E-05,3.05E-05,-2.99E-05,2.17E-05,5.89E-05,1.15E-05,8.81E-06
1903.397,-1.68E-06,4.28E-05,8.57E-06,4.29E-05,-4.50E-06,1.27E-05,2.87E-05,2.61E-05,1.27E-05,5.20E-05,3.77E-05,-2.49E-05,3.19E-05,7.07E-05,2.80E-05,1.64E-05
1903.879,-1.96E-06,3.79E-05,1.30E-05,4.49E-05,-1.22E-05,8.99E-06,2.75E-05,2.31E-05,4.24E-06,4.48E-05,2.74E-05,-3.38E-05,2.45E-05,6.38E-05,3.06E-05,6.17E-06
1904.361,-4.13E-06,2.85E-05,1.44E-05,4.00E-05,-2.59E-05,-4.60E-06,1.53E-05,8.16E-06,-1.53E-05,2.42E-05,4.02E-06,-5.37E-05,3.00E-06,4.13E-05,2.16E-05,-1.89E-05
1904.844,-8.46E-06,1.62E-05,1.22E-05,3.03E-05,-4.15E-05,-2.25E-05,-8.65E-07,-1.16E-05,-3.68E-05,1.25E-07,-2.22E-05,-7.52E-05,-2.22E-05,1.36E-05,9.90E-06,-4.79E-05
1905.326,-1.47E-05,2.47E-06,6.03E-06,1.84E-05,-5.49E-05,-3.79E-05,-1.36E-05,-2.85E-05,-5.12E-05,-1.73E-05,-3.97E-05,-8.82E-05,-3.98E-05,-8.36E-06,4.59E-06,-6.97E-05
1905.808,-2.19E-05,-1.02E-05,-3.08E-06,7.37E-06,-6.31E-05,-4.65E-05,-1.82E-05,-3.77E-05,-5.31E-05,-2.22E-05,-4.22E-05,-8.72E-05,-4.33E-05,-1.76E-05,1.02E-05,-7.74E-05
1906.29,-2.85E-05,-1.97E-05,-1.37E-05,-1.24E-06,-6.62E-05,-4.78E-05,-1.54E-05,-4.01E-05,-4.41E-05,-1.59E-05,-3.10E-05,-7.36E-05,-3.41E-05,-1.50E-05,2.38E-05,-7.20E-05
1906.772,-3.30E-05,-2.52E-05,-2.44E-05,-7.42E-06,-6.65E-05,-4.56E-05,-1.07E-05,-4.15E-05,-3.19E-05,-6.11E-06,-1.46E-05,-5.58E-05,-2.06E-05,-8.29E-06,3.63E-05,-6.15E-05
1907.254,-3.46E-05,-2.66E-05,-3.33E-05,-1.16E-05,-6.73E-05,-4.41E-05,-1.02E-05,-4.79E-05,-2.48E-05,-1.47E-06,-2.78E-06,-4.28E-05,-1.19E-05,-5.90E-06,3.88E-05,-5.49E-05
1907.736,-3.28E-05,-2.46E-05,-3.96E-05,-1.49E-05,-7.02E-05,-4.57E-05,-1.62E-05,-6.14E-05,-2.71E-05,-6.37E-06,-8.37E-07,-3.92E-05,-1.23E-05,-1.17E-05,2.79E-05,-5.63E-05
1908.218,-2.80E-05,-2.11E-05,-4.27E-05,-1.76E-05,-7.48E-05,-4.94E-05,-2.65E-05,-7.87E-05,-3.67E-05,-1.85E-05,-7.54E-06,-4.27E-05,-1.97E-05,-2.26E-05,8.06E-06,-6.32E-05
1908.7,-2.12E-05,-1.76E-05,-4.27E-05,-1.94E-05,-7.87E-05,-5.13E-05,-3.49E-05,-9.21E-05,-4.64E-05,-3.05E-05,-1.52E-05,-4.60E-05,-2.57E-05,-3.03E-05,-1.03E-05,-6.69E-05
1909.183,-1.34E-05,-1.54E-05,-4.04E-05,-1.99E-05,-7.95E-05,-4.83E-05,-3.56E-05,-9.50E-05,-4.92E-05,-3.49E-05,-1.63E-05,-4.22E-05,-2.29E-05,-2.75E-05,-1.75E-05,-6.00E-05
1909.665,-5.97E-06,-1.50E-05,-3.68E-05,-1.87E-05,-7.63E-05,-4.00E-05,-2.72E-05,-8.51E-05,-4.26E-05,-2.84E-05,-7.60E-06,-2.89E-05,-8.87E-06,-1.20E-05,-9.62E-06,-4.05E-05
1910.147,1.19E-07,-1.67E-05,-3.30E-05,-1.64E-05,-7.06E-05,-2.95E-05,-1.39E-05,-6.69E-05,-3.05E-05,-1.49E-05,7.35E-06,-1.14E-05,1.06E-05,1.00E-05,8.96E-06,-1.42E-05
