Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1900.022,4.43E-10,-4.54E-06,-1.24E-06,-4.13E-06,3.30E-06,-1.53E-06,-1.80E-06,-4.27E-06,-1.43E-06,-4.94E-06,-4.70E-06,-3.44E-06,9.84E-07,7.87E-07,-2.83E-07,3.87E-06
1900.504,1.10E-06,-1.35E-06,-6.69E-06,-1.30E-05,-1.13E-05,-1.68E-05,-2.21E-05,-2.15E-05,-2.21E-05,-2.42E-05,-2.65E-05,-2.69E-05,-1.18E-05,-2.67E-05,-2.70E-05,-2.03E-05
1900.987,2.82E-06,1.63E-06,-9.82E-06,-1.85E-05,-2.31E-05,-3.06E-05,-3.98E-05,-3.78E-05,-4.24E-05,-4.07E-05,-4.69E-05,-4.94E-05,-2.16E-05,-5.11E-05,-5.06E-05,-3.92E-05
1901.469,5.48E-06,3.66E-06,-1.06E-05,-2.08E-05,-3.01E-05,-4.05E-05,-5.09E-05,-4.82E-05,-5.72E-05,-4.84E-05,-5.95E-05,-6.47E-05,-2.36E-05,-6.52E-05,-6.33E-05,-4.63E-05
1901.951,8.66E-06,3.79E-06,-9.66E-06,-2.04E-05,-3.32E-05,-4.71E-05,-5.46E-05,-5.14E-05,-6.55E-05,-4.59E-05,-6.26E-05,-7.10E-05,-1.75E-05,-6.66E-05,-6.23E-05,-4.09E-05
1902.433,1.22E-05,2.47E-06,-7.45E-06,-1.81E-05,-3.46E-05,-5.30E-05,-5.37E-05,-5.02E-05,-7.03E-05,-3.69E-05,-5.94E-05,-7.18E-05,-7.77E-06,-5.94E-05,-5.16E-05,-2.84E-05
1902.915,1.55E-05,-7.45E-08,-4.82E-06,-1.50E-05,-3.79E-05,-6.22E-05,-5.37E-05,-5.06E-05,-7.82E-05,-2.92E-05,-5.70E-05,-7.40E-05,-2.35E-06,-5.20E-05,-3.96E-05,-1.85E-05
1903.397,1.88E-05,-2.06E-06,-1.69E-06,-1.09E-05,-4.52E-05,-7.67E-05,-5.85E-05,-5.74E-05,-9.32E-05,-2.93E-05,-6.12E-05,-8.31E-05,-7.21E-06,-5.22E-05,-3.43E-05,-1.89E-05
1903.879,2.23E-05,-1.72E-06,1.88E-06,-5.65E-06,-5.62E-05,-9.52E-05,-6.84E-05,-7.16E-05,-1.15E-04,-3.90E-05,-7.30E-05,-9.96E-05,-2.29E-05,-6.23E-05,-3.87E-05,-3.18E-05
1904.361,2.66E-05,3.09E-06,6.50E-06,1.82E-06,-6.82E-05,-1.13E-04,-7.94E-05,-8.94E-05,-1.38E-04,-5.38E-05,-8.75E-05,-1.18E-04,-4.34E-05,-7.81E-05,-4.82E-05,-5.11E-05
1904.844,3.27E-05,1.36E-05,1.25E-05,1.17E-05,-7.69E-05,-1.24E-04,-8.51E-05,-1.04E-04,-1.52E-04,-6.51E-05,-9.63E-05,-1.28E-04,-5.90E-05,-9.09E-05,-5.43E-05,-6.68E-05
1905.326,4.07E-05,2.94E-05,2.04E-05,2.37E-05,-7.91E-05,-1.23E-04,-8.11E-05,-1.10E-04,-1.52E-04,-6.55E-05,-9.27E-05,-1.24E-04,-6.21E-05,-9.29E-05,-4.89E-05,-7.00E-05
1905.808,5.08E-05,4.97E-05,3.05E-05,3.70E-05,-7.36E-05,-1.10E-04,-6.61E-05,-1.03E-04,-1.35E-04,-5.24E-05,-7.51E-05,-1.04E-04,-5.02E-05,-8.09E-05,-2.86E-05,-5.71E-05
1906.29,6.19E-05,7.20E-05,4.29E-05,4.95E-05,-6.19E-05,-8.83E-05,-4.47E-05,-8.90E-05,-1.06E-04,-2.97E-05,-4.90E-05,-7.32E-05,-2.86E-05,-5.91E-05,1.68E-06,-3.24E-05
1906.772,7.31E-05,9.37E-05,5.74E-05,5.98E-05,-4.77E-05,-6.56E-05,-2.38E-05,-7.29E-05,-7.60E-05,-5.72E-06,-2.38E-05,-4.28E-05,-6.76E-06,-3.61E-05,3.25E-05,-5.59E-06
1907.254,8.33E-05,1.12E-04,7.37E-05,6.66E-05,-3.51E-05,-4.89E-05,-1.08E-05,-6.20E-05,-5.41E-05,1.01E-05,-9.48E-06,-2.37E-05,5.58E-06,-2.11E-05,5.36E-05,1.28E-05
1907.736,9.16E-05,1.26E-04,9.07E-05,6.93E-05,-2.69E-05,-4.24E-05,-8.93E-06,-6.01E-05,-4.54E-05,1.36E-05,-1.03E-05,-2.09E-05,3.85E-06,-1.84E-05,5.92E-05,1.77E-05
1908.218,9.77E-05,1.35E-04,1.07E-04,6.75E-05,-2.41E-05,-4.68E-05,-1.76E-05,-6.66E-05,-4.93E-05,5.47E-06,-2.45E-05,-3.28E-05,-9.74E-06,-2.61E-05,5.03E-05,1.04E-05
