Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2250.039,4.13E-10,2.81E-10,-8.44E-10,4.80E-06,-1.59E-06,-2.37E-06,1.72E-06,-3.95E-06,-1.18E-06,-2.47E-06,2.00E-06,4.70E-06,-4.29E-06,-4.51E-06,9.72E-07,4.15E-06
2250.521,2.11E-06,1.78E-06,1.08E-06,1.05E-05,3.20E-06,3.62E-06,1.09E-05,1.36E-05,1.23E-05,1.51E-05,1.07E-05,1.32E-05,1.21E-05,9.12E-06,8.06E-06,1.63E-05
2251.003,2.56E-06,1.74E-06,2.63E-06,1.53E-05,1.78E-06,-3.32E-06,3.59E-06,8.32E-06,3.03E-06,8.95E-06,-5.01E-06,-3.16E-06,1.98E-06,-3.33E-06,-1.17E-05,1.15E-06
2251.485,1.75E-06,-6.18E-07,3.71E-06,1.99E-05,-3.87E-06,-1.88E-05,-1.42E-05,-1.40E-05,-2.22E-05,-1.43E-05,-3.77E-05,-3.60E-05,-2.66E-05,-3.39E-05,-4.93E-05,-3.28E-05
2251.968,4.12E-07,-4.94E-06,3.87E-06,2.55E-05,-8.45E-06,-3.27E-05,-2.92E-05,-3.87E-05,-4.73E-05,-3.78E-05,-6.99E-05,-6.63E-05,-5.46E-05,-6.35E-05,-8.44E-05,-6.58E-05
2252.45,-7.62E-07,-1.04E-05,3.03E-06,3.27E-05,-7.44E-06,-3.54E-05,-2.93E-05,-5.18E-05,-5.73E-05,-4.62E-05,-8.49E-05,-7.71E-05,-6.42E-05,-7.44E-05,-9.83E-05,-7.94E-05
2252.932,-1.47E-06,-1.58E-05,1.79E-06,4.12E-05,-2.87E-07,-2.40E-05,-1.16E-05,-4.85E-05,-4.72E-05,-3.44E-05,-7.66E-05,-6.28E-05,-4.94E-05,-6.05E-05,-8.41E-05,-6.73E-05
2253.414,-1.72E-06,-1.98E-05,6.79E-07,4.82E-05,8.83E-06,-3.39E-06,1.66E-05,-3.50E-05,-2.50E-05,-1.09E-05,-5.33E-05,-3.25E-05,-1.88E-05,-3.10E-05,-5.10E-05,-3.88E-05
2253.896,-1.66E-06,-2.18E-05,1.03E-07,5.12E-05,1.35E-05,1.65E-05,4.10E-05,-2.46E-05,-6.58E-06,7.83E-06,-3.16E-05,-4.61E-06,9.17E-06,-4.63E-06,-1.78E-05,-1.30E-05
