Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1100.19,-3.17E-10,-5.35E-10,-5.08E-10,-3.66E-06,-1.73E-06,3.74E-06,2.18E-06,-2.06E-07,1.36E-06,1.66E-06,4.13E-06,-1.87E-06,-1.48E-06,-3.99E-06,-3.39E-06,-3.86E-06
1100.673,-1.90E-07,-1.28E-05,1.38E-05,1.01E-05,1.99E-05,2.22E-05,-8.70E-07,-4.43E-05,-4.00E-05,-4.15E-05,-6.05E-05,-8.35E-05,-9.18E-05,-1.03E-04,-9.37E-05,-1.08E-04
1101.155,1.49E-07,-2.74E-05,3.35E-05,2.89E-05,5.25E-05,5.36E-05,1.02E-05,-6.68E-05,-6.22E-05,-6.50E-05,-9.75E-05,-1.47E-04,-1.50E-04,-1.70E-04,-1.54E-04,-1.81E-04
1101.637,5.91E-08,-4.02E-05,5.78E-05,5.29E-05,9.26E-05,8.97E-05,2.74E-05,-7.56E-05,-7.54E-05,-7.88E-05,-1.16E-04,-1.97E-04,-1.82E-04,-2.16E-04,-1.97E-04,-2.33E-04
1102.119,-2.38E-06,-4.96E-05,8.37E-05,8.07E-05,1.35E-04,1.23E-04,4.23E-05,-7.96E-05,-8.94E-05,-9.32E-05,-1.27E-04,-2.39E-04,-2.00E-04,-2.52E-04,-2.37E-04,-2.76E-04
1102.601,-8.89E-06,-5.63E-05,1.08E-04,1.11E-04,1.77E-04,1.50E-04,5.00E-05,-8.45E-05,-1.09E-04,-1.14E-04,-1.38E-04,-2.76E-04,-2.12E-04,-2.88E-04,-2.79E-04,-3.17E-04
1103.083,-2.02E-05,-6.24E-05,1.26E-04,1.41E-04,2.16E-04,1.72E-04,5.10E-05,-8.95E-05,-1.32E-04,-1.38E-04,-1.49E-04,-3.06E-04,-2.21E-04,-3.24E-04,-3.25E-04,-3.57E-04
1103.565,-3.50E-05,-7.06E-05,1.37E-04,1.70E-04,2.54E-04,1.93E-04,5.16E-05,-8.87E-05,-1.49E-04,-1.61E-04,-1.56E-04,-3.27E-04,-2.24E-04,-3.54E-04,-3.65E-04,-3.91E-04
1104.047,-5.14E-05,-8.21E-05,1.41E-04,1.98E-04,2.94E-04,2.18E-04,5.97E-05,-7.50E-05,-1.53E-04,-1.72E-04,-1.54E-04,-3.32E-04,-2.19E-04,-3.71E-04,-3.92E-04,-4.14E-04
