Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,,,,,,,,,,
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,
2250.039,-3.10E-07,7.37E-07,-7.30E-07,9.36E-07,1.42E-06,4.48E-06,-9.92E-08,8.05E-07,-5.52E-07,-5.52E-07,4.27E-06,2.95E-06,-7.85E-07,3.79E-06,6.69E-07,-2.17E-07,,,,,,,,,,
2250.521,5.06E-06,4.79E-06,2.05E-06,5.79E-06,4.90E-06,1.48E-05,1.84E-05,9.34E-06,-6.14E-07,-6.14E-07,7.36E-06,7.25E-06,1.27E-05,9.86E-06,1.83E-05,1.16E-05,,,,,,,,,,
2251.003,4.89E-06,4.90E-06,3.72E-06,8.68E-06,5.96E-06,2.02E-05,3.27E-05,1.21E-05,-2.19E-06,-2.19E-06,5.25E-06,5.48E-06,1.84E-05,1.34E-05,3.13E-05,1.77E-05,,,,,,,,,,
2251.485,-1.59E-07,6.99E-07,4.51E-06,7.66E-06,4.82E-06,2.11E-05,4.13E-05,9.01E-06,-4.85E-06,-4.85E-06,-6.94E-07,-2.05E-06,1.60E-05,1.44E-05,3.79E-05,1.77E-05,,,,,,,,,,
2251.968,-7.91E-06,-6.94E-06,5.30E-06,2.23E-06,2.95E-06,1.92E-05,4.49E-05,1.61E-06,-7.51E-06,-7.51E-06,-8.33E-06,-1.29E-05,7.88E-06,1.34E-05,3.82E-05,1.25E-05,,,,,,,,,,
2252.45,-1.64E-05,-1.64E-05,7.07E-06,-6.91E-06,1.38E-06,1.61E-05,4.42E-05,-8.46E-06,-9.76E-06,-9.76E-06,-1.60E-05,-2.41E-05,-3.11E-06,1.02E-05,3.32E-05,3.41E-06,,,,,,,,,,
2252.932,-2.39E-05,-2.61E-05,1.04E-05,-1.83E-05,1.15E-06,1.28E-05,4.04E-05,-1.94E-05,-1.19E-05,-1.19E-05,-2.23E-05,-3.28E-05,-1.43E-05,4.58E-06,2.42E-05,-8.10E-06,,,,,,,,,,
2253.414,-2.95E-05,-3.43E-05,1.55E-05,-2.99E-05,2.81E-06,1.01E-05,3.46E-05,-2.95E-05,-1.48E-05,-1.48E-05,-2.69E-05,-3.74E-05,-2.39E-05,-3.54E-06,1.27E-05,-2.04E-05,,,,,,,,,,
2253.896,-3.35E-05,-4.05E-05,2.17E-05,-3.99E-05,6.06E-06,7.82E-06,2.74E-05,-3.81E-05,-1.96E-05,-1.96E-05,-3.00E-05,-3.84E-05,-3.12E-05,-1.41E-05,2.82E-07,-3.25E-05,,,,,,,,,,
2254.378,-3.71E-05,-4.52E-05,2.76E-05,-4.73E-05,9.81E-06,5.24E-06,1.86E-05,-4.50E-05,-2.74E-05,-2.74E-05,-3.25E-05,-3.73E-05,-3.68E-05,-2.69E-05,-1.24E-05,-4.37E-05,,,,,,,,,,
2254.86,-4.19E-05,-4.99E-05,3.11E-05,-5.20E-05,1.28E-05,1.44E-06,8.19E-06,-5.04E-05,-3.88E-05,-3.88E-05,-3.56E-05,-3.70E-05,-4.17E-05,-4.11E-05,-2.43E-05,-5.36E-05,,,,,,,,,,
2255.342,-4.90E-05,-5.62E-05,3.06E-05,-5.44E-05,1.38E-05,-4.45E-06,-3.67E-06,-5.43E-05,-5.32E-05,-5.32E-05,-3.93E-05,-3.96E-05,-4.67E-05,-5.58E-05,-3.44E-05,-6.18E-05,,,,,,,,,,
2255.824,-5.84E-05,-6.52E-05,2.53E-05,-5.55E-05,1.28E-05,-1.24E-05,-1.67E-05,-5.64E-05,-6.89E-05,-6.89E-05,-4.37E-05,-4.60E-05,-5.21E-05,-6.99E-05,-4.16E-05,-6.76E-05,,,,,,,,,,
2256.307,-6.88E-05,-7.74E-05,1.57E-05,-5.60E-05,1.00E-05,-2.24E-05,-2.95E-05,-5.62E-05,-8.37E-05,-8.37E-05,-4.81E-05,-5.57E-05,-5.77E-05,-8.23E-05,-4.47E-05,-7.04E-05,,,,,,,,,,
2256.789,-7.83E-05,-9.17E-05,3.73E-06,-5.69E-05,6.39E-06,-3.34E-05,-4.12E-05,-5.32E-05,-9.54E-05,-9.54E-05,-5.12E-05,-6.65E-05,-6.29E-05,-9.26E-05,-4.29E-05,-6.93E-05,,,,,,,,,,
2257.271,-8.52E-05,-1.07E-04,-8.43E-06,-5.86E-05,3.16E-06,-4.42E-05,-5.05E-05,-4.75E-05,-1.03E-04,-1.03E-04,-5.21E-05,-7.61E-05,-6.72E-05,-1.00E-04,-3.67E-05,-6.45E-05,,,,,,,,,,
2257.753,-8.84E-05,-1.21E-04,-1.84E-05,-6.13E-05,9.15E-07,-5.35E-05,-5.72E-05,-4.02E-05,-1.05E-04,-1.05E-04,-5.02E-05,-8.24E-05,-7.02E-05,-1.06E-04,-2.78E-05,-5.66E-05,,,,,,,,,,
2258.235,-8.84E-05,-1.32E-04,-2.49E-05,-6.54E-05,-5.90E-07,-6.03E-05,-6.15E-05,-3.29E-05,-1.04E-04,-1.04E-04,-4.54E-05,-8.42E-05,-7.24E-05,-1.11E-04,-1.87E-05,-4.70E-05,,,,,,,,,,
2258.717,-8.62E-05,-1.39E-04,-2.70E-05,-7.01E-05,-2.10E-06,-6.38E-05,-6.43E-05,-2.76E-05,-1.00E-04,-1.00E-04,-3.85E-05,-8.18E-05,-7.37E-05,-1.15E-04,-1.21E-05,-3.73E-05,,,,,,,,,,
2259.199,-8.41E-05,-1.42E-04,-2.54E-05,-7.50E-05,-4.74E-06,-6.40E-05,-6.64E-05,-2.60E-05,-9.52E-05,-9.52E-05,-3.07E-05,-7.63E-05,-7.50E-05,-1.19E-04,-1.03E-05,-2.96E-05,,,,,,,,,,
