Wavenumbers,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
cm-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
2250.039,4.87E-07,-4.34E-10,-6.27E-11,-3.62E-06,4.20E-06,3.53E-06,3.34E-06,-9.83E-07,4.05E-06,9.88E-07,-2.83E-06,-2.99E-06,8.36E-07,2.38E-06,-2.32E-06,1.57E-06,-1.54E-06,-4.83E-06,-1.98E-06,2.85E-06,6.15E-07,1.27E-06,4.11E-06,2.89E-06,1.42E-06,-4.88E-06,8.49E-07,3.22E-06,-2.58E-06,-3.82E-06,-2.64E-06,-1.22E-06,1.62E-06,-2.95E-06,-4.12E-06,-3.16E-06,3.69E-06,-1.40E-06,-4.37E-06,-4.10E-06,-3.65E-06,3.90E-08,-7.90E-07,2.75E-06,-4.10E-06,-4.48E-06,5.57E-08,2.83E-06,-3.51E-06,-9.20E-07,-1.19E-06,-5.45E-06,-1.60E-06,-5.04E-07,-9.28E-07,-8.16E-06,-8.71E-06,-6.50E-07,-1.97E-06,-4.97E-06,-1.72E-06,-5.82E-06,-3.12E-06,-4.45E-06,-7.98E-06,-4.13E-06,-5.82E-06,-4.52E-06,-5.52E-06,-2.24E-06,-2.90E-06,-2.19E-06,-2.52E-06,-3.81E-06,-3.83E-06,-3.82E-06,0.00E+00,-2.28E-06,-8.13E-06,4.03E-07,-2.34E-06,5.36E-07,-7.32E-06,-6.74E-06,-2.61E-06,-4.08E-06,4.43E-07,-8.80E-06,-3.59E-06,-8.37E-06,-2.56E-06,-7.50E-06,-3.79E-06,-1.46E-06,-2.25E-06,-2.27E-06,-2.00E-06,-4.97E-06,-7.80E-06,-8.80E-06,-3.79E-06,-3.62E-07,-5.19E-06,-2.99E-06,-2.26E-06,-6.23E-06
2250.521,3.99E-06,8.44E-07,7.41E-06,1.33E-06,2.09E-05,1.44E-05,1.42E-05,-1.03E-06,1.18E-05,6.18E-06,-7.44E-06,1.76E-05,1.85E-05,5.96E-06,-5.79E-06,1.24E-05,2.50E-06,5.02E-06,1.27E-05,6.76E-06,2.35E-06,6.69E-06,4.49E-06,1.15E-05,-1.19E-06,-1.18E-05,1.79E-05,2.63E-05,2.68E-06,1.15E-05,-4.49E-08,1.79E-05,2.40E-05,-1.07E-05,-1.15E-05,-1.93E-09,5.12E-06,3.81E-06,-3.78E-06,2.31E-06,2.09E-05,1.74E-05,1.22E-05,1.02E-05,1.69E-05,2.47E-07,-2.07E-06,1.13E-05,-7.82E-07,-1.30E-05,-2.74E-09,-4.87E-06,1.75E-06,1.03E-05,6.21E-07,2.45E-06,-1.27E-06,-3.78E-06,7.10E-07,-3.49E-06,8.51E-07,-2.22E-06,-6.12E-06,-4.22E-07,-8.96E-07,-2.03E-06,3.55E-06,8.69E-08,-5.64E-06,2.39E-06,4.12E-06,1.18E-05,-1.10E-05,4.86E-06,-3.77E-06,-2.81E-07,0.00E+00,-3.33E-06,-5.83E-06,1.89E-06,7.77E-06,-8.54E-06,-6.15E-06,-5.98E-06,-4.35E-07,-1.37E-06,3.94E-06,-5.89E-06,-1.62E-06,-9.62E-06,9.00E-06,1.21E-06,6.15E-06,-5.85E-06,1.21E-06,2.72E-06,-1.32E-05,-4.12E-06,-1.14E-05,-6.23E-07,4.92E-06,-7.79E-06,2.41E-06,6.95E-06,-2.44E-07,-6.45E-06
2251.003,3.42E-06,6.19E-06,8.29E-06,2.44E-06,3.26E-05,1.35E-05,2.22E-05,-5.79E-06,9.73E-06,-5.93E-08,-1.79E-05,2.82E-05,2.05E-05,-4.20E-06,-2.15E-05,1.23E-05,-9.00E-06,1.25E-06,2.36E-05,3.74E-06,5.81E-07,6.35E-06,-4.95E-06,1.54E-05,-5.91E-06,-2.58E-05,3.15E-05,5.12E-05,1.17E-06,2.35E-05,-4.79E-07,3.11E-05,4.56E-05,-1.75E-05,-2.37E-05,6.84E-07,4.81E-06,7.75E-06,-6.60E-06,6.88E-06,4.31E-05,3.41E-05,1.98E-05,1.55E-05,3.07E-05,2.20E-06,-8.30E-06,1.56E-05,1.81E-06,-2.39E-05,2.39E-06,-1.91E-06,4.04E-06,2.43E-05,3.51E-06,7.56E-06,3.17E-06,-1.18E-05,4.23E-06,6.39E-07,5.80E-06,-1.47E-08,-1.20E-05,1.14E-06,6.96E-06,2.15E-07,1.17E-05,2.22E-06,-8.22E-06,1.94E-06,9.75E-06,1.99E-05,-1.81E-05,1.44E-05,7.73E-07,4.20E-07,0.00E+00,-4.54E-06,-7.08E-06,1.99E-07,1.35E-05,-1.46E-05,-7.90E-06,-9.97E-06,5.32E-06,1.58E-06,6.59E-06,-8.65E-07,-3.93E-06,-1.28E-05,2.39E-05,1.06E-05,1.42E-05,-8.06E-06,7.35E-06,4.42E-06,-2.16E-05,-1.32E-06,-1.91E-05,8.65E-06,1.57E-05,-1.30E-05,1.38E-05,1.70E-05,-1.86E-06,-3.25E-06
2251.485,-1.16E-06,1.47E-05,3.21E-06,1.04E-06,4.04E-05,3.80E-06,2.98E-05,-1.01E-05,1.75E-06,-1.30E-05,-2.91E-05,3.27E-05,9.39E-06,-2.29E-05,-4.39E-05,4.07E-06,-2.99E-05,-1.23E-05,3.21E-05,-3.86E-06,-2.79E-06,1.97E-06,-2.12E-05,1.64E-05,-9.45E-06,-4.31E-05,4.16E-05,7.42E-05,-3.88E-06,3.13E-05,-2.74E-06,3.81E-05,6.42E-05,-2.07E-05,-3.80E-05,4.19E-07,5.06E-06,1.06E-05,-1.16E-05,8.29E-06,6.04E-05,4.85E-05,2.06E-05,1.87E-05,3.64E-05,2.27E-06,-1.65E-05,1.84E-05,3.62E-06,-3.24E-05,5.54E-06,3.46E-06,6.53E-06,3.91E-05,8.21E-06,7.55E-06,4.01E-06,-2.33E-05,9.46E-06,7.28E-06,1.27E-05,7.25E-07,-2.00E-05,1.78E-07,1.44E-05,3.70E-06,1.89E-05,2.59E-06,-1.25E-05,-3.58E-06,1.30E-05,2.23E-05,-2.33E-05,2.31E-05,9.16E-06,-2.16E-06,0.00E+00,-5.12E-06,-1.15E-05,-4.27E-06,1.33E-05,-1.69E-05,-1.23E-05,-1.76E-05,1.50E-05,5.19E-06,7.13E-06,6.77E-06,-8.46E-06,-1.76E-05,3.89E-05,1.91E-05,1.90E-05,-7.77E-06,1.59E-05,3.50E-06,-2.57E-05,3.71E-06,-3.00E-05,1.80E-05,2.83E-05,-1.55E-05,2.74E-05,2.57E-05,-5.32E-06,2.78E-06
2251.968,-8.43E-06,2.40E-05,-5.95E-06,-1.27E-06,4.68E-05,-8.62E-06,4.07E-05,-7.73E-06,-5.20E-06,-2.49E-05,-3.43E-05,3.82E-05,-7.47E-06,-4.13E-05,-6.38E-05,-6.23E-06,-5.04E-05,-2.80E-05,4.17E-05,-1.16E-05,-4.89E-06,-3.01E-06,-3.90E-05,1.71E-05,-8.13E-06,-5.85E-05,4.90E-05,9.23E-05,-8.95E-06,3.53E-05,-5.76E-06,3.99E-05,7.75E-05,-1.85E-05,-5.18E-05,1.60E-06,7.35E-06,1.27E-05,-1.70E-05,6.03E-06,7.19E-05,6.02E-05,1.49E-05,2.10E-05,3.59E-05,1.61E-06,-2.45E-05,2.33E-05,4.44E-06,-3.75E-05,9.43E-06,1.03E-05,9.74E-06,5.15E-05,1.46E-05,3.66E-06,8.05E-07,-3.62E-05,1.72E-05,1.61E-05,2.04E-05,-1.37E-07,-2.94E-05,-3.69E-06,1.98E-05,9.05E-06,2.57E-05,2.69E-06,-1.82E-05,-1.36E-05,1.30E-05,1.99E-05,-2.70E-05,2.92E-05,2.00E-05,-7.21E-06,0.00E+00,-4.46E-06,-1.83E-05,-1.02E-05,6.67E-06,-1.65E-05,-1.89E-05,-2.75E-05,2.76E-05,9.34E-06,4.60E-06,1.62E-05,-1.34E-05,-2.36E-05,5.06E-05,2.51E-05,2.00E-05,-5.43E-06,2.54E-05,3.46E-08,-2.44E-05,1.11E-05,-4.25E-05,2.66E-05,4.20E-05,-1.55E-05,4.13E-05,3.18E-05,-9.72E-06,1.00E-05
2252.45,-1.67E-05,3.12E-05,-1.72E-05,-3.70E-06,5.29E-05,-1.88E-05,5.71E-05,3.84E-06,-6.25E-06,-2.96E-05,-3.00E-05,4.97E-05,-2.33E-05,-5.35E-05,-7.47E-05,-1.37E-05,-6.22E-05,-3.94E-05,5.35E-05,-1.68E-05,-4.52E-06,-5.82E-06,-5.42E-05,1.87E-05,-5.38E-07,-6.88E-05,5.46E-05,1.03E-04,-1.18E-05,3.59E-05,-9.38E-06,3.82E-05,8.46E-05,-1.12E-05,-6.36E-05,5.94E-06,1.17E-05,1.35E-05,-2.17E-05,5.21E-07,7.79E-05,6.83E-05,3.93E-06,2.29E-05,3.19E-05,4.03E-07,-3.19E-05,3.30E-05,3.73E-06,-3.90E-05,1.40E-05,1.72E-05,1.41E-05,5.97E-05,2.31E-05,-1.69E-06,-6.23E-06,-4.83E-05,2.71E-05,2.61E-05,2.84E-05,-2.03E-06,-3.90E-05,-1.02E-05,2.25E-05,1.66E-05,3.23E-05,4.13E-06,-2.43E-05,-2.65E-05,9.25E-06,1.45E-05,-2.98E-05,3.11E-05,3.15E-05,-1.29E-05,0.00E+00,-2.56E-06,-2.61E-05,-1.60E-05,-5.49E-06,-1.49E-05,-2.65E-05,-3.84E-05,4.14E-05,1.33E-05,-1.10E-06,2.57E-05,-1.69E-05,-3.00E-05,5.68E-05,2.82E-05,1.73E-05,-2.13E-06,3.45E-05,-5.75E-06,-1.81E-05,2.03E-05,-5.50E-05,3.43E-05,5.57E-05,-1.30E-05,5.39E-05,3.42E-05,-1.44E-05,1.69E-05
2252.932,-2.44E-05,3.41E-05,-2.91E-05,-6.63E-06,5.84E-05,-2.45E-05,7.68E-05,2.27E-05,-6.30E-07,-2.49E-05,-1.76E-05,6.78E-05,-3.46E-05,-5.73E-05,-7.43E-05,-1.71E-05,-6.19E-05,-4.32E-05,6.68E-05,-1.88E-05,-1.59E-06,-5.38E-06,-6.39E-05,2.11E-05,1.28E-05,-7.22E-05,5.90E-05,1.07E-04,-1.16E-05,3.44E-05,-1.33E-05,3.52E-05,8.47E-05,-1.83E-07,-7.24E-05,1.41E-05,1.78E-05,1.26E-05,-2.50E-05,-6.88E-06,7.97E-05,7.35E-05,-9.61E-06,2.53E-05,2.78E-05,-1.29E-06,-3.83E-05,4.95E-05,2.35E-06,-3.72E-05,2.02E-05,2.29E-05,1.94E-05,6.27E-05,3.37E-05,-6.40E-06,-1.62E-05,-5.74E-05,3.82E-05,3.64E-05,3.57E-05,-4.52E-06,-4.76E-05,-1.91E-05,2.24E-05,2.59E-05,3.86E-05,8.31E-06,-3.06E-05,-4.03E-05,1.55E-06,7.90E-06,-3.28E-05,2.80E-05,4.22E-05,-1.70E-05,0.00E+00,2.07E-07,-3.38E-05,-2.00E-05,-2.09E-05,-1.32E-05,-3.38E-05,-4.85E-05,5.44E-05,1.67E-05,-9.23E-06,3.32E-05,-1.82E-05,-3.66E-05,5.69E-05,2.84E-05,1.18E-05,1.00E-06,4.17E-05,-1.40E-05,-8.06E-06,3.04E-05,-6.60E-05,4.16E-05,6.75E-05,-8.28E-06,6.41E-05,3.31E-05,-1.93E-05,2.22E-05
2253.414,-2.98E-05,3.18E-05,-4.07E-05,-1.13E-05,6.13E-05,-2.65E-05,9.47E-05,4.27E-05,8.06E-06,-1.39E-05,-2.94E-06,8.71E-05,-4.23E-05,-5.66E-05,-6.64E-05,-1.91E-05,-5.21E-05,-4.08E-05,7.81E-05,-2.03E-05,1.83E-06,-1.98E-06,-6.75E-05,2.28E-05,2.90E-05,-6.99E-05,6.26E-05,1.04E-04,-9.60E-06,3.18E-05,-1.70E-05,3.29E-05,7.84E-05,1.18E-05,-7.77E-05,2.50E-05,2.40E-05,1.03E-05,-2.78E-05,-1.35E-05,7.99E-05,7.61E-05,-2.25E-05,2.81E-05,2.63E-05,-3.46E-06,-4.40E-05,7.26E-05,9.38E-07,-3.30E-05,2.81E-05,2.54E-05,2.43E-05,6.11E-05,4.57E-05,-9.15E-06,-2.84E-05,-6.22E-05,4.84E-05,4.52E-05,4.07E-05,-7.38E-06,-5.38E-05,-3.00E-05,1.93E-05,3.61E-05,4.37E-05,1.49E-05,-3.67E-05,-5.27E-05,-9.60E-06,1.40E-06,-3.73E-05,1.98E-05,5.04E-05,-1.74E-05,0.00E+00,2.34E-06,-4.02E-05,-2.12E-05,-3.68E-05,-1.26E-05,-3.98E-05,-5.69E-05,6.39E-05,1.81E-05,-1.88E-05,3.63E-05,-1.73E-05,-4.30E-05,5.22E-05,2.62E-05,5.09E-06,2.60E-06,4.57E-05,-2.43E-05,3.30E-06,3.97E-05,-7.48E-05,4.92E-05,7.57E-05,-2.42E-06,7.13E-05,2.84E-05,-2.51E-05,2.50E-05
2253.896,-3.22E-05,2.49E-05,-5.23E-05,-1.91E-05,6.01E-05,-2.77E-05,1.05E-04,5.70E-05,1.44E-05,-2.00E-06,6.77E-06,1.00E-04,-4.94E-05,-5.74E-05,-5.68E-05,-2.36E-05,-3.88E-05,-3.58E-05,8.36E-05,-2.49E-05,3.92E-06,2.88E-06,-6.61E-05,2.17E-05,4.43E-05,-6.40E-05,6.52E-05,9.72E-05,-7.15E-06,2.92E-05,-1.99E-05,3.22E-05,6.67E-05,2.15E-05,-7.95E-05,3.61E-05,2.89E-05,6.70E-06,-3.04E-05,-1.69E-05,7.99E-05,7.76E-05,-3.15E-05,3.18E-05,2.79E-05,-5.47E-06,-4.88E-05,1.01E-04,8.03E-07,-2.76E-05,3.75E-05,2.36E-05,2.72E-05,5.60E-05,5.85E-05,-9.39E-06,-4.17E-05,-6.25E-05,5.51E-05,5.05E-05,4.20E-05,-1.07E-05,-5.70E-05,-4.26E-05,1.35E-05,4.58E-05,4.62E-05,2.28E-05,-4.22E-05,-6.21E-05,-2.32E-05,-4.60E-06,-4.45E-05,7.50E-06,5.53E-05,-1.30E-05,0.00E+00,2.56E-06,-4.46E-05,-1.94E-05,-5.05E-05,-1.28E-05,-4.35E-05,-6.36E-05,6.82E-05,1.68E-05,-2.86E-05,3.38E-05,-1.51E-05,-4.88E-05,4.51E-05,2.24E-05,-1.09E-06,1.75E-06,4.61E-05,-3.58E-05,1.34E-05,4.62E-05,-8.19E-05,5.68E-05,7.91E-05,3.79E-06,7.54E-05,2.07E-05,-3.19E-05,2.48E-05
